Iteration,Using RL?,State,Action,Reward,Variance Bucket,Variance Bucket Index,Next Variance Bucket Index,Next Variance Bucket Index,Luminance Bucket,Luminance Bucket Index,Bright Pixel Ratio Bucket,Bright Pixel Ratio Bucket Index,Mean Luminance,Luminance Variance,Log Luminance Variance,Bright Pixel Ratio,Epsilon
169,RL,123,BSDF Heavy,0.820398,Low-Medium,1,Medium-High,3,High,2,High,2,3.24882,720.116,6.5808,0.0657212,0.198406
170,RL,124,BSDF Heavy,-0.110292,Low-Medium,1,High,4,High,2,High,2,3.25523,720.912,6.5819,0.0657589,0.198406
171,RL,105,BSDF Heavy,0.891018,Low-Medium,1,Low,0,High,2,High,2,3.22709,714.508,6.57299,0.0659533,0.198406
172,RL,124,BSDF Heavy,-1.41482,Low-Medium,1,High,4,High,2,High,2,3.26913,724.703,6.58714,0.0658311,0.198406
173,RL,122,BSDF Heavy,0.725269,Low-Medium,1,Medium,2,High,2,High,2,3.24821,719.459,6.57989,0.065815,0.198406
174,RL,124,BSDF Heavy,-0.681353,Low-Medium,1,High,4,High,2,High,2,3.2732,724.385,6.5867,0.0660601,0.198406
175,RL,124,BSDF Heavy,0.159979,Low-Medium,1,High,4,High,2,High,2,3.26548,723.225,6.5851,0.0657773,0.198406
176,RL,121,Balanced,0.550985,Low-Medium,1,Low-Medium,1,High,2,High,2,3.24654,719.246,6.57959,0.0661123,0.198248
177,RL,79,Balanced,-0.312138,Low-Medium,1,High,4,High,2,High,2,3.25358,721.498,6.58271,0.0624168,0.198248
178,RL,60,Balanced,0.604486,Low-Medium,1,Low,0,High,2,High,2,3.23668,717.143,6.57667,0.0625874,0.198248
179,RL,60,Balanced,0.109148,Low-Medium,1,Low,0,High,2,High,2,3.23436,716.36,6.57558,0.0628802,0.198248
180,RL,79,Balanced,-0.583363,Low-Medium,1,High,4,High,2,High,2,3.24975,720.557,6.58141,0.062964,0.198248
181,RL,77,Balanced,0.134563,Low-Medium,1,Medium,2,High,2,High,2,3.24631,719.587,6.58007,0.0627303,0.198248
182,RL,75,Balanced,0.130701,Low-Medium,1,Low,0,High,2,High,2,3.24264,718.646,6.57876,0.0628156,0.198248
183,RL,79,Balanced,-0.998068,Low-Medium,1,High,4,High,2,High,2,3.27181,725.864,6.58874,0.062748,0.198248
184,RL,79,Balanced,-0.0132561,Low-Medium,1,High,4,High,2,High,2,3.27555,725.96,6.58887,0.0626066,0.198248
185,RL,79,Balanced,0.774527,Low-Medium,1,High,4,High,2,High,2,3.24964,720.351,6.58113,0.0623269,0.198248
186,RL,79,Balanced,-0.275278,Low-Medium,1,High,4,High,2,High,2,3.2507,722.34,6.58388,0.0627319,0.198248
187,RL,60,Balanced,1.1106,Low-Medium,1,Low,0,High,2,High,2,3.21991,714.351,6.57277,0.0627442,0.198248
188,RL,60,Balanced,-0.460434,Low-Medium,1,Low,0,High,2,High,2,3.23462,717.653,6.57738,0.0623507,0.198248
189,RL,75,Balanced,-0.170612,Low-Medium,1,Low,0,High,2,High,2,3.24496,718.879,6.57908,0.062466,0.198248
190,RL,76,Balanced,-0.0709057,Low-Medium,1,Low-Medium,1,High,2,High,2,3.24663,719.39,6.57979,0.0629417,0.198248
191,RL,60,Balanced,0.362158,Low-Medium,1,Low,0,High,2,High,2,3.23506,716.786,6.57617,0.0629601,0.198248
192,RL,75,BSDF Heavy,-0.286674,Low,0,Low,0,High,2,Medium,1,3.24729,718.847,6.57904,0.0627611,0.198089
193,RL,105,BSDF Heavy,0.361395,Low,0,Low,0,High,2,Medium,1,3.23645,716.25,6.57542,0.0656559,0.198089
194,RL,120,BSDF Heavy,-0.230885,Low,0,Low,0,High,2,Medium,1,3.24684,717.908,6.57773,0.0659702,0.198089
195,RL,124,BSDF Heavy,-0.594234,Low,0,High,4,High,2,Medium,1,3.25536,722.192,6.58368,0.0657174,0.198089
196,RL,124,BSDF Heavy,-0.703859,Low,0,High,4,High,2,Medium,1,3.2871,727.301,6.59071,0.0657189,0.198089
197,RL,105,BSDF Heavy,1.44839,Low,0,Low,0,High,2,Medium,1,3.2369,716.828,6.57623,0.0657619,0.198089
198,RL,124,BSDF Heavy,-0.991583,Low,0,High,4,High,2,Medium,1,3.27218,723.981,6.58615,0.0657504,0.198089
199,RL,124,BSDF Heavy,-0.0470638,Low,0,High,4,High,2,Medium,1,3.27119,724.323,6.58662,0.0660639,0.198089
200,RL,120,BSDF Heavy,0.813913,Low,0,Low,0,High,2,Medium,1,3.24313,718.443,6.57848,0.0655982,0.198089
201,RL,123,BSDF Heavy,-0.204468,Low,0,Medium-High,3,High,2,Medium,1,3.25263,719.915,6.58052,0.0660539,0.198089
